GEOID,County,S1901_C01_001E,S1901_C01_002E,S1901_C01_003E,S1901_C01_004E,S1901_C01_005E,S1901_C01_006E,S1901_C01_007E,S1901_C01_008E,S1901_C01_009E,S1901_C01_010E,S1901_C01_011E,Median_Household_Income,S1901_C01_013E,S1901_C01_014E,S1901_C01_015E,S1901_C01_016E
0500000US01001,"Autauga County, Alabama",21397,6.6,5.5,10.4,7.9,12.7,17.8,13.7,16.8,5.4,3.2,58731,75326,32.1,(X),(X)
0500000US01003,"Baldwin County, Alabama",80930,5.0,4.6,8.8,10.4,13.9,18.4,12.8,14.4,6.0,5.7,58320,80986,35.5,(X),(X)
0500000US01005,"Barbour County, Alabama",9345,14.9,8.5,17.6,11.7,14.2,13.3,8.2,8.0,2.0,1.6,32525,47068,40.3,(X),(X)
0500000US01007,"Bibb County, Alabama",6891,8.3,8.0,13.0,8.9,14.8,16.0,16.2,10.4,2.1,2.2,47542,60182,43.8,(X),(X)
0500000US01009,"Blount County, Alabama",20847,8.2,5.5,10.5,12.5,14.0,19.4,12.0,11.0,4.4,2.5,49358,65639,36.3,(X),(X)
0500000US01011,"Bullock County, Alabama",3521,15.5,9.7,10.6,13.2,11.3,19.8,7.0,10.3,0.8,1.8,37785,48571,54.0,(X),(X)
0500000US01013,"Butler County, Alabama",6506,9.5,8.1,13.3,11.7,16.9,14.7,12.6,9.6,1.3,2.2,40688,55971,43.6,(X),(X)
0500000US01015,"Calhoun County, Alabama",44605,8.0,6.6,12.2,11.5,13.6,18.8,11.6,11.8,3.6,2.2,47255,63417,37.2,(X),(X)
0500000US01017,"Chambers County, Alabama",13448,7.5,6.6,15.9,13.2,13.0,18.2,13.9,8.8,1.8,1.1,42289,53505,46.4,(X),(X)
0500000US01019,"Cherokee County, Alabama",10737,6.9,6.8,16.8,10.4,14.4,19.3,11.6,8.4,3.0,2.4,41919,57617,40.8,(X),(X)
0500000US01021,"Chilton County, Alabama",16927,8.4,6.8,12.6,12.1,11.8,19.8,12.7,10.3,3.0,2.5,47468,62784,40.6,(X),(X)
0500000US01023,"Choctaw County, Alabama",5300,11.2,9.4,15.0,13.2,13.9,11.6,10.2,10.3,4.2,0.9,35892,52395,30.2,(X),(X)
0500000US01025,"Clarke County, Alabama",9090,18.8,6.6,11.3,10.5,14.2,13.8,8.1,9.8,4.7,2.1,37404,54687,43.6,(X),(X)
0500000US01027,"Clay County, Alabama",5198,7.8,7.3,12.4,15.9,15.6,16.6,9.1,12.3,0.5,2.5,40845,57585,34.8,(X),(X)
0500000US01029,"Cleburne County, Alabama",5680,9.3,5.0,16.5,10.6,14.7,18.7,10.3,9.7,3.9,1.4,44741,57990,32.0,(X),(X)
0500000US01031,"Coffee County, Alabama",19924,7.1,5.3,9.1,11.0,13.5,18.1,12.4,15.7,4.8,3.1,55637,70079,38.4,(X),(X)
0500000US01033,"Colbert County, Alabama",21880,8.7,6.0,13.4,10.9,12.8,20.1,12.1,11.4,2.8,1.8,48065,60904,36.2,(X),(X)
0500000US01035,"Conecuh County, Alabama",4553,10.8,10.4,10.6,15.2,16.1,18.0,10.0,6.6,1.1,1.2,37837,47286,40.9,(X),(X)
0500000US01037,"Coosa County, Alabama",4032,5.2,8.7,15.1,15.0,17.3,14.7,11.6,6.5,4.3,1.6,38990,56017,38.2,(X),(X)
0500000US01039,"Covington County, Alabama",14852,9.8,7.1,13.6,12.6,13.4,16.7,12.2,9.3,3.5,1.8,42189,57075,38.7,(X),(X)
0500000US01041,"Crenshaw County, Alabama",4943,8.6,9.1,14.7,9.2,14.9,16.8,11.3,11.1,2.2,2.0,43163,61468,40.7,(X),(X)
0500000US01043,"Cullman County, Alabama",31034,7.7,5.4,13.1,11.7,16.7,17.9,12.3,9.4,3.6,2.2,44918,59909,38.7,(X),(X)
0500000US01045,"Dale County, Alabama",18806,8.4,5.6,13.6,10.5,14.7,19.0,11.8,10.4,3.5,2.4,47214,61001,39.7,(X),(X)
0500000US01047,"Dallas County, Alabama",15910,15.4,7.9,15.5,12.7,13.2,13.6,10.0,8.4,2.2,1.1,33845,47753,33.8,(X),(X)
0500000US01049,"DeKalb County, Alabama",26040,9.0,7.3,14.7,12.5,15.4,17.9,9.3,9.6,2.3,2.1,40440,56390,38.3,(X),(X)
0500000US01051,"Elmore County, Alabama",29708,5.7,3.7,9.4,9.8,12.4,19.3,13.1,16.9,5.2,4.5,60891,78370,33.5,(X),(X)
0500000US01053,"Escambia County, Alabama",13089,13.9,8.1,13.1,13.5,15.4,15.6,8.9,6.9,3.0,1.6,36275,50242,39.1,(X),(X)
0500000US01055,"Etowah County, Alabama",38942,7.7,6.0,15.0,12.2,14.3,17.2,12.0,10.7,2.7,2.4,44637,60379,39.6,(X),(X)
0500000US01057,"Fayette County, Alabama",6802,9.4,9.9,12.3,13.0,14.3,19.1,11.1,6.8,2.6,1.5,39856,53897,36.5,(X),(X)
0500000US01059,"Franklin County, Alabama",11048,6.7,5.0,15.8,10.8,18.4,17.6,14.2,6.3,3.4,1.9,43514,56907,33.9,(X),(X)
0500000US01061,"Geneva County, Alabama",10383,10.3,8.4,14.8,9.0,16.7,15.2,11.5,11.4,1.5,1.1,41732,53077,38.4,(X),(X)
0500000US01063,"Greene County, Alabama",2951,20.2,17.2,13.2,14.0,9.4,12.1,7.1,4.1,1.7,0.9,24145,36431,49.0,(X),(X)
0500000US01065,"Hale County, Alabama",5650,15.8,10.7,11.9,12.1,11.2,17.3,8.7,7.9,3.0,1.5,34046,51992,52.5,(X),(X)
0500000US01067,"Henry County, Alabama",6630,8.6,6.1,11.5,10.6,13.2,19.7,13.1,11.3,4.2,1.8,50017,62696,39.9,(X),(X)
0500000US01069,"Houston County, Alabama",39311,8.3,6.0,12.3,11.0,14.4,17.4,10.8,11.7,4.1,4.0,47580,67855,41.5,(X),(X)
0500000US01071,"Jackson County, Alabama",20695,9.4,8.2,12.1,12.2,16.1,18.0,10.7,9.5,1.9,1.8,41769,54808,34.7,(X),(X)
0500000US01073,"Jefferson County, Alabama",261231,8.4,5.5,10.1,10.0,12.8,16.9,11.6,13.2,5.4,6.1,53901,78812,39.6,(X),(X)
0500000US01075,"Lamar County, Alabama",5856,7.7,11.4,13.8,13.0,14.1,17.5,8.1,10.7,2.4,1.2,38364,54252,35.1,(X),(X)
0500000US01077,"Lauderdale County, Alabama",38471,7.0,5.6,12.6,11.3,15.2,17.8,12.7,11.4,3.4,3.0,48094,65763,43.8,(X),(X)
0500000US01079,"Lawrence County, Alabama",12677,9.1,6.1,13.3,11.5,15.5,17.3,8.8,13.2,3.9,1.3,44886,58315,34.1,(X),(X)
0500000US01081,"Lee County, Alabama",60237,12.1,5.2,11.1,8.7,11.7,16.6,11.6,13.0,5.5,4.5,51463,71547,35.4,(X),(X)
0500000US01083,"Limestone County, Alabama",32143,6.1,4.6,10.7,9.9,11.1,17.2,13.7,16.0,6.0,4.7,59686,77275,32.0,(X),(X)
0500000US01085,"Lowndes County, Alabama",4251,13.8,14.4,18.0,9.0,13.0,12.0,7.9,8.9,1.9,1.1,30036,47139,36.5,(X),(X)
0500000US01087,"Macon County, Alabama",7474,16.4,7.3,14.9,12.7,14.9,13.3,9.2,6.3,3.1,1.8,33370,50091,60.2,(X),(X)
0500000US01089,"Madison County, Alabama",148189,5.4,5.0,8.9,8.6,11.5,15.8,12.3,16.5,8.4,7.5,65449,88291,28.6,(X),(X)
0500000US01091,"Marengo County, Alabama",7361,17.6,8.1,15.2,10.6,10.6,14.7,8.3,9.9,3.3,1.5,33241,54556,35.3,(X),(X)
0500000US01093,"Marion County, Alabama",11997,8.1,12.0,16.1,13.1,14.5,16.1,8.7,8.2,1.5,1.7,35930,50367,31.2,(X),(X)
0500000US01095,"Marshall County, Alabama",34883,7.5,6.8,13.1,10.1,15.9,18.3,11.0,11.0,2.8,3.4,45983,63834,41.9,(X),(X)
0500000US01097,"Mobile County, Alabama",156251,9.5,5.7,12.7,10.6,13.4,18.2,11.2,11.5,4.0,3.3,47583,64948,37.1,(X),(X)
0500000US01099,"Monroe County, Alabama",8166,21.2,9.3,13.2,10.4,11.0,13.3,8.8,8.2,2.6,2.0,30441,48659,50.7,(X),(X)
0500000US01101,"Montgomery County, Alabama",89527,9.2,5.6,11.5,10.1,13.6,17.7,11.6,11.9,4.4,4.5,50124,70975,36.2,(X),(X)
0500000US01103,"Morgan County, Alabama",45918,7.1,5.1,11.2,12.2,12.4,19.1,13.0,12.4,4.4,3.1,52156,68318,35.0,(X),(X)
0500000US01105,"Perry County, Alabama",3070,19.5,12.2,22.3,13.4,11.9,8.5,4.2,6.3,1.5,0.2,23447,35819,40.6,(X),(X)
0500000US01107,"Pickens County, Alabama",7637,10.6,11.0,14.2,9.8,12.2,16.8,10.2,9.9,3.2,2.1,39848,56370,37.8,(X),(X)
