County_FIPS,County_Name,State_FIPS,Median_Household_Income,BMI
29227,worth,29,53580,28.58611358905739
31061,franklin,31,49282,28.905883752549286
36013,chautauqua,36,46820,27.906849022246853
37181,vance,37,40529,28.67474812709894
47183,weakley,47,39937,28.977636171337917
44003,kent,44,73521,27.96887262079063
08101,pueblo,08,46783,27.016584914391487
17175,stark,17,54907,28.26783924441018
29169,pulaski,29,53492,28.58611358905739
19151,pocahontas,19,52448,28.768742447974937
22039,evangeline,22,31965,29.147282456956724
28049,hinds,28,44625,29.591042854127085
28081,lee,28,50559,29.591042854127085
29117,livingston,29,46992,28.58611358905739
21083,graves,21,44043,29.228347616497054
28037,franklin,28,40219,29.591042854127085
40049,garvin,40,47125,29.060523660403618
47083,houston,47,42711,28.977636171337917
48189,hale,48,48384,28.690274318715034
51830,williamsburg,51,57463,28.368110471551912
51595,emporia,51,27063,28.368110471551912
51169,scott,51,39820,28.368110471551912
55069,lincoln,55,58541,28.70823349365982
35043,sandoval,35,63802,27.957114069809286
27065,kanabec,27,57163,28.116189263738598
13321,worth,13,45398,28.556264296754254
37145,person,37,51020,28.67474812709894
31035,clay,31,57173,28.905883752549286
31169,thayer,31,51821,28.905883752549286
54083,randolph,54,43320,29.466495589414595
47077,henderson,47,43305,28.977636171337917
72033,cataño,72,17448,28.577783414975507
48263,kent,48,44688,28.690274318715034
12081,manatee,12,59009,28.05181366377311
16027,canyon,16,52134,28.184678172588832
17069,hardin,17,51250,28.26783924441018
21117,kenton,21,64339,29.228347616497054
22091,st. helena,22,43886,29.147282456956724
27133,rock,27,63005,28.116189263738598
29119,mcdonald,29,41643,28.58611358905739
40025,cimarron,40,46328,29.060523660403618
39069,henry,39,59695,29.008764634638673
47151,scott,47,38864,28.977636171337917
06011,colusa,06,59401,27.53247487198938
13063,clayton,13,47864,28.556264296754254
13057,cherokee,13,82740,28.556264296754254
18065,henry,18,49832,28.80851440688537
20101,lane,20,52125,28.7484767825918
21215,spencer,21,80166,29.228347616497054
19037,chickasaw,19,60034,28.768742447974937
27005,becker,27,60284,28.116189263738598
29085,hickory,29,34182,28.58611358905739
27061,itasca,27,55139,28.116189263738598
36037,genesee,36,60524,27.906849022246853
31143,polk,31,67719,28.905883752549286
40097,mayes,40,50345,29.060523660403618
46025,clark,46,48980,28.539972429451833
48499,wood,48,53394,28.690274318715034
48393,roberts,48,68750,28.690274318715034
54105,wirt,54,46048,29.466495589414595
72061,guaynabo,72,35928,28.577783414975507
18095,madison,18,49522,28.80851440688537
01059,franklin,01,43514,28.883482594694065
06075,san francisco,06,112449,27.53247487198938
13047,catoosa,13,56235,28.556264296754254
19191,winneshiek,19,65263,28.768742447974937
28093,marshall,28,42233,29.591042854127085
28087,lowndes,28,50441,29.591042854127085
29181,ripley,29,34971,28.58611358905739
36115,washington,36,57258,27.906849022246853
46027,clay,46,50724,28.539972429451833
53071,walla walla,53,57858,27.950918122644744
08087,morgan,08,53682,27.016584914391487
17053,ford,17,52092,28.26783924441018
19103,johnson,19,62542,28.768742447974937
20015,butler,20,64782,28.7484767825918
21149,mclean,21,51861,29.228347616497054
22043,grant,22,42505,29.147282456956724
28137,tate,28,51030,29.591042854127085
28017,chickasaw,28,36548,29.591042854127085
36099,seneca,36,54545,27.906849022246853
28029,copiah,28,42151,29.591042854127085
42075,lebanon,42,60281,28.41409090909091
48353,nolan,48,45537,28.690274318715034
51775,salem,51,57165,28.368110471551912
54031,hardy,54,47438,29.466495589414595
01029,cleburne,01,44741,28.883482594694065
55077,marquette,55,52288,28.70823349365982
35015,eddy,35,65328,27.957114069809286
19069,franklin,19,56419,28.768742447974937
28111,perry,28,42469,29.591042854127085
21207,russell,21,38390,29.228347616497054
24047,worcester,24,63499,28.4279229702471
47081,hickman,47,43596,28.977636171337917
48217,hill,48,53307,28.690274318715034
42045,delaware,42,74477,28.41409090909091
48129,donley,48,42961,28.690274318715034
51135,nottoway,51,45535,28.368110471551912
13055,chattooga,13,36807,28.556264296754254
19109,kossuth,19,56073,28.768742447974937
27027,clay,27,65269,28.116189263738598
36009,cattaraugus,36,48703,27.906849022246853
06087,santa cruz,06,82234,27.53247487198938
24015,cecil,24,76887,28.4279229702471
26021,berrien,26,50795,28.793935274424268
28003,alcorn,28,42086,29.591042854127085
29145,newton,29,50813,28.58611358905739
48215,hidalgo,48,40014,28.690274318715034
48403,sabine,48,34992,28.690274318715034
01009,blount,01,49358,28.883482594694065
08013,boulder,08,83019,27.016584914391487
13247,rockdale,13,60189,28.556264296754254
17027,clinton,17,66639,28.26783924441018
18055,greene,18,51613,28.80851440688537
20027,clay,20,53929,28.7484767825918
21073,franklin,21,56274,29.228347616497054
